Minit Mfinal Age He_core C_core dM_wind dM_RLOF C12_central H_fin He_fin C_fin
11 9.36 23.59 3.78 2.34 1.64 0.00 0.33 3.82 2.98 0.13
12 9.77 20.38 4.27 2.75 2.23 0.00 0.32 3.75 3.04 0.12
13 10.04 17.95 4.78 3.16 2.96 0.00 0.31 3.58 3.07 0.18
14 10.18 16.06 5.29 3.61 3.82 0.00 0.30 3.30 3.05 0.18
15 10.18 14.55 5.82 4.07 4.82 0.00 0.30 2.91 2.98 0.17
16 10.03 13.32 6.36 4.54 5.97 0.00 0.29 2.41 2.86 0.18
17 10.05 12.30 6.85 4.99 6.95 0.00 0.28 2.07 2.78 0.19
18 10.08 11.45 7.34 5.44 7.92 0.00 0.28 1.74 2.70 0.31
19 10.55 10.73 7.76 5.82 8.45 0.00 0.27 1.75 2.76 0.27
20 11.57 10.11 8.04 6.08 8.43 0.00 0.27 2.22 3.05 0.32
21 12.05 9.58 8.42 6.39 8.95 0.00 0.27 2.26 3.17 0.32
22 11.90 9.12 8.78 6.74 10.10 0.00 0.26 1.81 3.13 0.34
23 11.05 8.72 9.41 7.32 11.95 0.00 0.24 0.73 2.80 0.20
24 11.31 8.35 9.15 7.81 12.69 0.00 0.23 0.57 2.75 0.30
25 12.68 8.02 10.35 8.20 12.32 0.00 0.23 1.05 3.23 0.30
26 11.94 7.72 11.70 9.47 14.06 0.00 0.21 0.05 2.20 0.37
27 12.42 7.46 11.98 9.73 14.58 0.00 0.21 0.11 2.39 0.41
28 12.89 7.23 12.15 9.87 15.11 0.00 0.21 0.23 2.60 0.39
29 13.38 7.01 12.62 10.31 15.62 0.00 0.20 0.24 2.64 0.43
30 14.26 6.80 13.09 10.73 15.74 0.00 0.20 0.40 2.92 0.31
31 14.68 6.61 12.80 11.70 16.32 0.00 0.20 0.16 2.60 0.30
32 15.16 6.44 14.41 11.98 16.84 0.00 0.20 0.23 2.72 0.24
33 14.57 6.29 14.57 12.66 18.43 0.00 0.20 0.00 1.56 0.57
34 15.24 6.14 15.24 13.60 18.76 0.00 0.20 0.00 1.59 0.64
35 15.27 6.01 15.27 -1 19.73 0.00 0.20 0.00 1.18 0.91
36 15.11 5.88 15.11 -1 20.89 0.00 0.20 0.00 0.82 0.66
37 15.75 5.74 15.75 13.74 21.25 0.00 0.20 0.00 0.14 1.11
38 16.16 5.63 16.16 12.44 21.84 0.00 0.20 0.00 0.13 1.20
39 16.51 5.53 16.51 10.74 22.49 0.00 0.20 0.00 0.15 1.20
40 16.89 5.44 16.89 14.23 23.11 0.00 0.20 0.00 0.28 1.19
41 17.23 5.35 17.23 14.82 23.77 0.00 0.20 0.00 0.19 1.21
42 17.53 5.26 17.53 14.31 24.47 0.00 0.19 0.00 0.21 1.28
43 17.86 5.18 17.86 9.57 25.14 0.00 0.19 0.00 0.19 1.24
44 18.16 5.10 18.16 7.30 25.84 0.00 0.19 0.00 0.22 2.00
45 18.50 5.03 18.50 15.84 26.50 0.00 0.19 0.00 0.14 1.35
